Peak ID,A Height,A Volume,B Height,B Volume
182,10190102.0,3382470874.2091684,9968312.587153817,4697036936.916543
183,16902442.0,4427906670.718922,16194135.775734847,4534657833.761842
184,4434587.5,1697816421.8764093,4099940.5194291566,1514433586.8719532
185,7385606.0,2615263933.31388,4490835.9979025815,2143694053.196521
186,8206466.0,4435202708.28087,9514723.384274947,3269892588.0643
187,11954281.0,4140463045.742802,11008916.786859073,3746156132.090411
188,23746132.0,7082141686.994077,22868982.369630087,7440088976.080154
189,4773165.0,1079403805.7704923,5063977.236054202,1693300106.5236456
190,17667448.0,5751897963.209076,18857445.024209015,5230229102.570809
191,14548355.0,2755144633.507936,19123621.820525397,3139160380.3050737
192,21014832.0,3888075463.7053533,28975123.165474307,5929971442.367393
193,29871640.0,4941473894.287442,37952714.64402219,6181843943.753193
194,18847566.0,3249528342.858782,24448750.517884493,3936280027.283175
195,41079836.0,5515179742.116981,52736872.32071801,6550891557.350197
196,29843404.0,5007627050.122772,39004193.285288,5659360336.929124
197,5175883.0,1015986961.0312669,7041288.545728567,1285139454.5029237
198,47318864.0,6659320664.112037,58932712.19712478,7242110469.259943
199,40662908.0,5653313221.477507,51146327.22514088,5751472753.646753
200,9683349.0,4369646365.155913,10622957.912686305,3494049275.222668
201,31744624.0,5130361155.512646,40982130.091701664,5629532642.028153
202,6716830.5,3111455430.475533,7949973.730409095,2586973676.9244003
203,34201364.0,5963367892.677228,41812509.32863425,8633622888.865028
204,56742932.0,9137058735.646349,70575964.83570425,10891947347.67442
205,19905904.0,5825341948.155281,19068933.030309916,5436743101.68615
206,10304388.0,2705681452.789374,12553147.737705812,4556615833.100025
207,9577732.0,3092733637.3784347,12252353.91431629,5184603574.003748
208,9180332.0,3974584711.8260655,10043723.832391057,3618428180.038385
209,19436190.0,3502746691.8006406,24324654.59386457,6554001791.189481
210,7315028.0,2313315101.5033374,8035752.775802461,2865722825.1685934
211,12608108.0,3058284843.871491,15080875.364591565,3845385984.707438
212,14812078.0,2749777278.492483,17986538.856685694,4263852414.136089
213,17018040.0,6785825735.513095,16607884.889451252,7919386142.795574
214,18784756.0,5342803591.7212715,17708289.206492122,8498157834.238045
215,11880158.0,3970160354.7094436,11786655.708011374,3526826536.754223
